Term,Definition
🔓 Account hijacking,Stolen credentials - Session hijacking - Unauthorized access
🔗 Third-party risks,Vendor compromises - Software dependencies - Trusted relationships
🔧 Hardware tampering,Modified components - Counterfeit parts - Backdoors in hardware
📦 Software supply chain,Compromised updates - Malicious libraries - Build process attacks
🍎 Jailbreaking (iOS),Removes OS restrictions - Security bypass - Unofficial apps
🤖 Rooting (Android),Gaining root access - Custom ROMs - Security risks
📲 Sideloading,Installing apps outside official store - Malicious apps - Bypass security checks
📱 Mobile malware,Malicious apps - Data theft - Spyware
🔓 Open permissions,Overly permissive access - Everyone access - Privilege creep
🚪 Unsecured admin pages,Admin interfaces exposed - Weak authentication - Default credentials
🔐 Weak encryption,Outdated algorithms - Short key lengths - Insecure protocols
⚠️ Error messages,Detailed error information - Information disclosure - System details leaked
↩️ Reflected XSS,Non-persistent - Immediate response - URL-based attacks
💾 Stored XSS,Persistent - Stored in database - Affects all users
🌐 DOM-based XSS,Client-side vulnerability - JavaScript execution - Browser-based
🍪 Session hijacking,Stealing cookies - Account takeover - Credential theft
🎨 Defacement,Altering webpage content - Malicious redirects
💉 SQL injection,Injecting SQL commands - Manipulating database queries - Input validation bypass
🛠️ SQL injection techniques,1=1 (always true) - OR statements - UNION queries - Comment injection (-- or /*)
💥 SQL injection impact,Data extraction - Database modification - Authentication bypass - Complete database compromise
🛡️ SQL injection prevention,Prepared statements - Parameterized queries - Input validation - Least privilege database accounts
🖥️ Compromised update servers,Man-in-the-middle attacks - Fake updates - Malware distribution
🔗 Supply chain attacks via updates,Trusted update mechanisms - Automatic updates exploited - Wide distribution
⏱️ Time-of-check to time-of-use (TOCTOU),Timing vulnerabilities - State changes between checks - Concurrent access issues
⚡ Race condition exploitation,Multiple simultaneous transactions - Resource manipulation - Permission bypass
📊 Buffer overflows,Writing beyond memory boundaries - Overwriting adjacent memory - Stack and heap overflows
💣 Buffer overflow exploitation,Code execution - Return address modification - Shell code injection
🛡️ Buffer overflow prevention,Input validation - Bounds checking - Address Space Layout Randomization (ASLR) - Data Execution Prevention (DEP)
📚 DLL injection,Loading malicious libraries - Process hijacking - Stealth techniques
⚙️ Process injection,Code injection into running processes - Hiding malware - Evasion techniques
🔓 Weak algorithms,Deprecated encryption (DES, RC4) - MD5, SHA-1 weaknesses - Collision attacks
🔑 Poor key management,Hardcoded keys - Weak key generation - Key reuse
🐛 Implementation flaws,Side-channel attacks - Timing attacks - Padding oracle attacks
🏃 VM escape,Breaking out of VM - Accessing hypervisor - Compromising host
💻 Hypervisor vulnerabilities,Host OS attacks - Management interface exploits
📈 VM sprawl,Unmanaged VMs - Forgotten instances - Security gaps
🦠 Malware definition,Malicious software - Unauthorized access and damage - Various delivery methods
💀 Common malware types,Ransomware - Trojans - Worms and viruses - Rootkits - Keyloggers
💻 Program viruses,Attach to executables - Requires user action - Spreads through file sharing
🥾 Boot sector viruses,Infect boot records - Run before OS loads - Difficult to remove
📜 Script viruses,OS and browser scripts - Macro viruses in documents - Email-based spread
👻 Fileless viruses,Operate in memory (RAM) - No files on disk - Difficult to detect
🐛 Worms,Self-replicating - Spreads automatically - No user interaction needed - Network propagation
⚡ Famous worm examples,WannaCry - Code Red - Stuxnet
⌨️ Keyloggers,Capture keystrokes - Steal credentials - Hardware or software-based
💣 Logic bombs,Triggered by conditions - Time-based or event-based - Insider threats
🌳 Rootkits,Hide other malware - Kernel-level access - Very difficult to detect
🕵️ Spyware,Monitors user activity - Collects personal information - Advertisements and tracking
📺 Adware,Displays advertisements - Pop-ups and banners - Revenue generation
📦 Bloatware,Pre-installed software - Unnecessary applications - Performance impact
🐴 Trojans,Appears legitimate - Hidden malicious functionality - Remote access trojans (RATs)
🔐 Ransomware,Encrypts data - Demands payment - Crypto-ransomware vs. locker ransomware
⚠️ Potentially unwanted programs (PUPs),Questionable software - Bundled applications - May not be explicitly malicious
🔨 Brute force,Try all combinations - Time-consuming - Success depends on complexity
📖 Dictionary attacks,Common words and phrases - Password lists - Faster than brute force
💦 Password spraying,Common passwords - Multiple accounts - Avoid account lockouts
🔄 Credential stuffing,Reused passwords - Breached credentials - Automated attacks
🌈 Rainbow tables,Pre-computed hashes - Fast password cracking - Defeated by salting
#️⃣ Pass the hash,Using password hash - No need for plaintext - Lateral movement
💉 Injection attacks,SQL injection - LDAP injection - XML injection
⬆️ Privilege escalation (application),Vertical: gaining admin rights - Horizontal: accessing other user data - Exploiting vulnerabilities
📂 Directory traversal,Path traversal attacks - Accessing files outside web root - ../ attacks
🔀 Cross-site request forgery (CSRF),Unauthorized commands - Exploiting trust - Using authenticated sessions
🖥️ Server-side request forgery (SSRF),Force server to make requests - Internal network access - Cloud metadata exploitation
💻 Remote code execution (RCE),Execute arbitrary code - Complete system compromise - Critical vulnerability
🚫 Denial of Service (DoS),Single source attack - Resource exhaustion - Service unavailability
💥 Distributed Denial of Service (DDoS),Multiple sources - Botnets - Difficult to block
📢 Amplification attacks,Small request, large response - DNS amplification - NTP amplification
🔄 Reflected attacks,Spoofed source address - Bouncing off third party - Hiding attacker
☠️ DNS poisoning,Cache poisoning - Corrupted DNS records - Redirecting users
🏴‍☠️ Domain hijacking,Unauthorized domain transfers - Registrar compromise - Lost control of domain
⌨️ URL hijacking (typosquatting),Similar domain names - Common typos - Homograph attacks
🚇 DNS tunneling,Data exfiltration - Command and control - Bypass firewalls
🔁 Session replay,Capturing valid sessions - Reusing authentication - Session hijacking
#️⃣ Pass the hash (replay),Replaying password hashes - No need to crack - Windows authentication
🎫 Kerberos attacks,Golden ticket - Silver ticket - Pass the ticket
🛡️ Replay prevention,Timestamps - Nonces (number used once) - Sequence numbers - Short session timeouts
👤 On-path interception,Positioning between parties - Eavesdropping on communication - Real-time manipulation
🎯 On-path attack techniques,ARP spoofing - DNS spoofing - Rogue access points
🔓 SSL stripping,Downgrading HTTPS to HTTP - Removing encryption - Transparent proxy
🛡️ On-path prevention,Encryption (TLS/SSL) - Certificate pinning - HSTS (HTTP Strict Transport Security)
🎂 Birthday attacks,Hash collision exploitation - Probability-based - Weaken hash functions
💥 Collision attacks,Two inputs, same output - Breaking hash integrity - Certificate forgery
⬇️ Downgrade attacks,Force weaker encryption - Protocol negotiation exploits - POODLE, BEAST attacks
👿 Evil twin,Rogue access point - Identical SSID - Man-in-the-middle
🚫 Deauthentication attacks,Disconnect wireless clients - Force reconnection - Capture handshakes
📡 RF jamming,Radio frequency interference - Denial of service - Signal blocking
📌 WPS attacks,Brute force PIN - Easy access - Weak authentication
🔓 WEP/WPA attacks,Cracking weak encryption - Capturing handshakes - Dictionary attacks
🔵 Bluetooth attacks,Bluejacking - Bluesnarfing - Bluesmack
🔨 Brute force physical,Forcing entry - Breaking locks - Destructive access
📡 RFID cloning,Copying access badges - Skimming cards - Unauthorized duplication
🌡️ Environmental attacks,Temperature manipulation - Humidity control - Power issues
🔌 Hardware attacks,Malicious USB cables - Card skimmers - Flash drives
🌐 Unusual network traffic,Unexpected protocols - Large data transfers - Odd connection patterns
🤖 Rogue devices,Unauthorized hardware - Unknown MAC addresses - Suspicious access points
📊 Bandwidth consumption,Unexpected spikes - Data exfiltration - DDoS participation
🔒 Account lockouts,Multiple failed logins - Brute force attempts - Compromised accounts
✈️ Impossible travel,Logins from different locations - Geographically impossible - Account sharing or compromise
💻 Resource consumption,High CPU usage - Memory exhaustion - Disk activity
⚠️ Unauthorized changes,Modified files - New user accounts - Configuration changes
🔍 Anomalous activity,Unusual behavior - Off-hours access - Privilege escalation attempts
📁 File system changes,New files - Modified binaries - Missing logs
🔄 Patching and updates,Operating systems - Applications - Firmware
🔐 Encryption (mitigation),Data at rest - Data in transit - End-to-end encryption
📊 Monitoring and logging,SIEM systems - Log analysis - Real-time alerts
🔒 Least privilege,Minimum necessary access - Just-in-time access - Regular review
⚙️ Configuration management,Baseline configurations - Change control - Automated deployment
🗑️ Decommissioning,Proper asset disposal - Data sanitization - Certificate revocation
🌐 VLAN segmentation,Logical separation - Broadcast domain isolation - Security boundaries
🔌 Physical segmentation,Air gaps - Separate networks - Isolated systems
🔬 Microsegmentation,Granular controls - Zero Trust implementation - Workload isolation
📋 Access Control Lists (ACLs),Network ACLs - File system permissions - Router and firewall rules
✅ Application allow lists,Whitelisting applications - Executable control - Preventing unauthorized software
🚫 Application deny lists,Blacklisting applications - Known malware - Reactive approach
🚫 Disable unnecessary services,Reduce attack surface - Close unused ports - Remove unnecessary software
🔑 Change default passwords,Unique credentials - Strong passwords - Regular rotation
👤 Disable default accounts,Remove guest accounts - Rename admin accounts - Disable built-in accounts
🔐 Encryption (hardening),Full-disk encryption - File-level encryption - Network encryption
📏 Security baselines,CIS benchmarks - STIG guidelines - Vendor best practices
👥 Group policies,Centralized management - Consistent configurations - Windows domain environments
🔒 Secure protocols,Disable legacy protocols - Use SSH instead of Telnet - HTTPS instead of HTTP - SNMPv3 instead of v1/v2
🔍 Regular audits,Vulnerability scanning - Penetration testing - Configuration reviews
